lat,lon,dist_to_canal_m
13.5,100.3,758.4030177241362
13.5,100.306061,85.85471915576538
13.5,100.312121,139.03165525427048
13.5,100.318182,155.210743873512
13.5,100.324242,505.5074825098999
13.5,100.330303,115.90618139523087
13.5,100.336364,82.87104109100726
13.5,100.342424,74.02595022343709
13.5,100.348485,236.9903119707336
13.5,100.354545,408.16425324719313
13.5,100.360606,268.1154457429723
13.5,100.366667,104.31457983980897
13.5,100.372727,778.5116848863145
13.5,100.378788,135.21288485634167
13.5,100.384848,85.96257908120099
13.5,100.390909,295.30832715748244
13.5,100.39697,255.08441311947604
13.5,100.40303,513.5974356672639
13.5,100.409091,972.6930268697143
13.5,100.415152,1131.9382207089523
13.5,100.421212,1091.1843909353925
13.5,100.427273,1150.2728621042993
13.5,100.433333,1235.6085896523632
13.5,100.439394,1286.9715222262735
13.5,100.445455,978.3751805216868
13.5,100.451515,485.55848557824476
13.5,100.457576,551.8077955783278
13.5,100.463636,202.69131813322093
13.5,100.469697,438.05280621032136
13.5,100.475758,450.07858583897
13.5,100.481818,493.98779014963685
13.5,100.487879,1093.5618151201286
13.5,100.493939,1271.7368214500068
13.5,100.5,1005.5404612983172
13.5,100.506061,1146.8989786299408
13.5,100.512121,1258.7959565979108
13.5,100.518182,1142.1807074970427
13.5,100.524242,1390.9981056433965
13.5,100.530303,1864.3154678812075
13.5,100.536364,2129.9200151317164
13.5,100.542424,2124.1440003823764
13.5,100.548485,2323.3178013296624
13.5,100.554545,2682.111217829536
13.5,100.560606,3026.495100966704
13.5,100.566667,3145.1480339362843
13.5,100.572727,3144.953836882593
13.5,100.578788,3189.6896470541406
13.5,100.584848,3371.6022830450693
13.5,100.590909,3670.405194127867
13.5,100.59697,4060.3589982568083
13.5,100.60303,4395.981224385915
13.5,100.609091,4285.6859629857245
13.5,100.615152,3965.0665865064975
13.5,100.621212,3568.854291481698
13.5,100.627273,3212.5685757686197
13.5,100.633333,2943.334763119735
13.5,100.639394,2774.5292964114024
13.5,100.645455,2623.4874645708965
13.5,100.651515,2482.562816747662
13.5,100.657576,2337.6006724365984
13.5,100.663636,1945.9278440534836
13.5,100.669697,1373.2980498349807
13.5,100.675758,946.4293236668998
13.5,100.681818,903.2807032726457
13.5,100.687879,1283.153882262041
13.5,100.693939,1224.4656107239794
13.5,100.7,811.4544183124934
13.5,100.706061,305.76064268893356
13.5,100.712121,619.4409190096831
13.5,100.718182,981.3855353785033
13.5,100.724242,735.4174646847725
13.5,100.730303,150.49380814078046
13.5,100.736364,644.147884270503
13.5,100.742424,105.67331084736583
13.5,100.748485,482.9952349860343
13.5,100.754545,411.61761385241067
13.5,100.760606,350.9591070585119
13.5,100.766667,232.81662486187054
13.5,100.772727,201.8149585027303
13.5,100.778788,243.0915636257045
13.5,100.784848,386.0331641734074
13.5,100.790909,147.8568357083407
13.5,100.79697,43.48921928817343
13.5,100.80303,325.34661651088186
13.5,100.809091,59.05514983404376
13.5,100.815152,18.973360030641004
13.5,100.821212,237.77814621578364
13.5,100.827273,95.89772192722319
13.5,100.833333,39.55158869161888
13.5,100.839394,85.18648133415277
13.5,100.845455,187.45811049873456
13.5,100.851515,385.181625804329
13.5,100.857576,233.0596192619031
13.5,100.863636,633.8456733323187
13.5,100.869697,320.7530367403454
13.5,100.875758,353.99151235373
13.5,100.881818,1021.0558862433791
13.5,100.887879,568.0332573092064
13.5,100.893939,266.6480982142817
13.5,100.9,646.3886878924708
13.505051,100.3,378.26414081793615
13.505051,100.306061,78.88961259201909
13.505051,100.312121,386.40593957750065
13.505051,100.318182,159.81509123108734
13.505051,100.324242,396.6530041759629
13.505051,100.330303,321.92688309541194
13.505051,100.336364,639.8545570066934
13.505051,100.342424,630.0672438005857
13.505051,100.348485,667.3855274309252
13.505051,100.354545,712.796501949854
13.505051,100.360606,642.9359904446648
13.505051,100.366667,562.1240462252179
13.505051,100.372727,940.7595096337551
13.505051,100.378788,516.2729274715396
13.505051,100.384848,484.9633783808921
13.505051,100.390909,386.01949586663625
13.505051,100.39697,308.64669402012225
13.505051,100.40303,311.79254600356273
13.505051,100.409091,410.5239992570515
13.505051,100.415152,703.9053343819982
13.505051,100.421212,532.778277329032
13.505051,100.427273,591.4485724991279
13.505051,100.433333,677.5579021899154
13.505051,100.439394,725.2475442927945
13.505051,100.445455,791.6092912486234
13.505051,100.451515,230.34521645147058
13.505051,100.457576,491.81539149333247
13.505051,100.463636,134.7821209690709
13.505051,100.469697,67.4881344549746
13.505051,100.475758,384.922263322894
13.505051,100.481818,435.4518942291259
13.505051,100.487879,1021.7167110152691
13.505051,100.493939,899.836555546411
13.505051,100.5,451.1129603257867
13.505051,100.506061,712.5788032549547
13.505051,100.512121,790.3213807055798
13.505051,100.518182,587.0412191929707
13.505051,100.524242,987.3785263801528
13.505051,100.530303,1586.0998670431347
13.505051,100.536364,1578.3233439498185
13.505051,100.542424,1570.519990817911
13.505051,100.548485,1830.94262967837
13.505051,100.554545,2268.979041773036
13.505051,100.560606,2471.2082518383013
13.505051,100.566667,2608.4708173246527
13.505051,100.572727,2583.238037435211
